时间, 传感器, 数值, 单位
2026-03-02 21:59:45, 亮度, 111, lux
2026-03-02 21:59:55, 温度, 17, ℃
2026-03-02 21:59:55, 湿度, 46, rh%
2026-03-02 21:59:55, 二氧化碳, 350, ppm
2026-03-02 21:59:55, 火焰强度, 1, level
2026-03-02 21:59:55, 亮度, 111, lux
2026-03-02 22:00:05, 温度, 17, ℃
2026-03-02 22:00:05, 湿度, 46, rh%
2026-03-02 22:00:05, 二氧化碳, 350, ppm
2026-03-02 22:00:05, 火焰强度, 1, level
2026-03-02 22:00:05, 亮度, 111, lux
2026-03-02 22:00:15, 温度, 17, ℃
2026-03-02 22:00:15, 湿度, 46, rh%
2026-03-02 22:00:15, 二氧化碳, 350, ppm
2026-03-02 22:00:15, 火焰强度, 1, level
2026-03-02 22:00:15, 亮度, 111, lux
2026-03-02 22:00:25, 温度, 17, ℃
2026-03-02 22:00:25, 湿度, 46, rh%
2026-03-02 22:00:25, 二氧化碳, 350, ppm
2026-03-02 22:00:25, 火焰强度, 1, level
2026-03-02 22:00:25, 亮度, 111, lux
2026-03-02 22:00:35, 温度, 17, ℃
2026-03-02 22:00:35, 湿度, 46, rh%
2026-03-02 22:00:35, 二氧化碳, 350, ppm
2026-03-02 22:00:35, 火焰强度, 1, level
2026-03-02 22:00:35, 亮度, 111, lux
2026-03-02 22:00:45, 温度, 17, ℃
2026-03-02 22:00:45, 湿度, 46, rh%
2026-03-02 22:00:45, 二氧化碳, 350, ppm
2026-03-02 22:00:45, 火焰强度, 1, level
2026-03-02 22:00:45, 亮度, 111, lux
2026-03-02 22:00:55, 温度, 17, ℃
2026-03-02 22:00:55, 湿度, 46, rh%
2026-03-02 22:00:55, 二氧化碳, 350, ppm
2026-03-02 22:00:55, 火焰强度, 1, level
2026-03-02 22:00:55, 亮度, 111, lux
2026-03-02 22:01:05, 温度, 17, ℃
2026-03-02 22:01:05, 湿度, 46, rh%
2026-03-02 22:01:05, 二氧化碳, 350, ppm
2026-03-02 22:01:05, 火焰强度, 1, level
2026-03-02 22:01:05, 亮度, 111, lux
2026-03-02 22:01:15, 温度, 17, ℃
2026-03-02 22:01:15, 湿度, 46, rh%
2026-03-02 22:01:15, 二氧化碳, 350, ppm
2026-03-02 22:01:15, 火焰强度, 1, level
2026-03-02 22:01:15, 亮度, 111, lux
2026-03-02 22:01:25, 温度, 17, ℃
2026-03-02 22:01:25, 湿度, 46, rh%
2026-03-02 22:01:25, 二氧化碳, 350, ppm
2026-03-02 22:01:25, 火焰强度, 1, level
2026-03-02 22:01:25, 亮度, 111, lux
2026-03-02 22:01:36, 温度, 17, ℃
2026-03-02 22:01:36, 湿度, 46, rh%
2026-03-02 22:01:36, 二氧化碳, 350, ppm
2026-03-02 22:01:36, 火焰强度, 1, level
2026-03-02 22:01:36, 亮度, 111, lux
2026-03-02 22:01:46, 温度, 17, ℃
2026-03-02 22:01:46, 湿度, 46, rh%
2026-03-02 22:01:46, 二氧化碳, 350, ppm
2026-03-02 22:01:46, 火焰强度, 1, level
2026-03-02 22:01:46, 亮度, 111, lux
2026-03-02 22:01:56, 温度, 17, ℃
2026-03-02 22:01:56, 湿度, 46, rh%
2026-03-02 22:01:56, 二氧化碳, 350, ppm
2026-03-02 22:01:56, 火焰强度, 1, level
2026-03-02 22:01:56, 亮度, 111, lux
2026-03-02 22:02:06, 温度, 17, ℃
2026-03-02 22:02:06, 湿度, 46, rh%
2026-03-02 22:02:06, 二氧化碳, 350, ppm
2026-03-02 22:02:06, 火焰强度, 1, level
2026-03-02 22:02:06, 亮度, 111, lux
2026-03-02 22:02:16, 温度, 17, ℃
2026-03-02 22:02:16, 湿度, 46, rh%
2026-03-02 22:02:16, 二氧化碳, 350, ppm
2026-03-02 22:02:16, 火焰强度, 1, level
2026-03-02 22:02:16, 亮度, 111, lux
2026-03-02 22:02:26, 温度, 17, ℃
2026-03-02 22:02:26, 湿度, 46, rh%
2026-03-02 22:02:26, 二氧化碳, 350, ppm
2026-03-02 22:02:26, 火焰强度, 1, level
2026-03-02 22:02:26, 亮度, 111, lux
2026-03-02 22:02:36, 温度, 17, ℃
2026-03-02 22:02:36, 湿度, 46, rh%
2026-03-02 22:02:36, 二氧化碳, 350, ppm
2026-03-02 22:02:36, 火焰强度, 1, level
2026-03-02 22:02:36, 亮度, 111, lux
2026-03-02 22:02:46, 温度, 17, ℃
2026-03-02 22:02:46, 湿度, 46, rh%
2026-03-02 22:02:46, 二氧化碳, 350, ppm
2026-03-02 22:02:46, 火焰强度, 1, level
2026-03-02 22:02:46, 亮度, 111, lux
2026-03-02 22:02:56, 温度, 17, ℃
2026-03-02 22:02:56, 湿度, 46, rh%
2026-03-02 22:02:56, 二氧化碳, 350, ppm
2026-03-02 22:02:56, 火焰强度, 1, level
2026-03-02 22:02:56, 亮度, 111, lux
2026-03-02 22:03:06, 温度, 17, ℃
2026-03-02 22:03:06, 湿度, 46, rh%
2026-03-02 22:03:06, 二氧化碳, 350, ppm
2026-03-02 22:03:06, 火焰强度, 1, level
2026-03-02 22:03:06, 亮度, 111, lux
2026-03-02 22:03:16, 温度, 17, ℃
2026-03-02 22:03:16, 湿度, 46, rh%
2026-03-02 22:03:16, 二氧化碳, 350, ppm
2026-03-02 22:03:16, 火焰强度, 1, level
2026-03-02 22:03:16, 亮度, 111, lux
2026-03-02 22:03:26, 温度, 17, ℃
2026-03-02 22:03:26, 湿度, 46, rh%
2026-03-02 22:03:26, 二氧化碳, 350, ppm
2026-03-02 22:03:26, 火焰强度, 1, level
2026-03-02 22:03:26, 亮度, 111, lux
2026-03-02 22:03:36, 温度, 17, ℃
2026-03-02 22:03:36, 湿度, 46, rh%
2026-03-02 22:03:36, 二氧化碳, 350, ppm
2026-03-02 22:03:36, 火焰强度, 1, level
2026-03-02 22:03:36, 亮度, 111, lux
2026-03-02 22:03:46, 温度, 17, ℃
2026-03-02 22:03:46, 湿度, 46, rh%
2026-03-02 22:03:46, 二氧化碳, 350, ppm
2026-03-02 22:03:46, 火焰强度, 1, level
2026-03-02 22:03:46, 亮度, 111, lux
2026-03-02 22:03:56, 温度, 17, ℃
2026-03-02 22:03:56, 湿度, 46, rh%
2026-03-02 22:03:56, 二氧化碳, 350, ppm
2026-03-02 22:03:56, 火焰强度, 1, level
2026-03-02 22:03:56, 亮度, 111, lux
2026-03-02 22:04:06, 温度, 17, ℃
2026-03-02 22:04:06, 湿度, 46, rh%
2026-03-02 22:04:06, 二氧化碳, 350, ppm
2026-03-02 22:04:06, 火焰强度, 1, level
2026-03-02 22:04:06, 亮度, 111, lux
2026-03-02 22:04:16, 温度, 17, ℃
2026-03-02 22:04:16, 湿度, 46, rh%
2026-03-02 22:04:16, 二氧化碳, 350, ppm
2026-03-02 22:04:16, 火焰强度, 1, level
2026-03-02 22:04:16, 亮度, 111, lux
2026-03-02 22:04:26, 温度, 17, ℃
2026-03-02 22:04:26, 湿度, 46, rh%
2026-03-02 22:04:26, 二氧化碳, 350, ppm
2026-03-02 22:04:26, 火焰强度, 1, level
2026-03-02 22:04:26, 亮度, 111, lux
2026-03-02 22:04:36, 温度, 17, ℃
2026-03-02 22:04:36, 湿度, 46, rh%
2026-03-02 22:04:36, 二氧化碳, 350, ppm
2026-03-02 22:04:36, 火焰强度, 1, level
2026-03-02 22:04:36, 亮度, 111, lux
2026-03-02 22:04:46, 温度, 17, ℃
2026-03-02 22:04:46, 湿度, 46, rh%
2026-03-02 22:04:46, 二氧化碳, 350, ppm
2026-03-02 22:04:46, 火焰强度, 1, level
2026-03-02 22:04:46, 亮度, 111, lux
2026-03-02 22:04:56, 温度, 17, ℃
2026-03-02 22:04:56, 湿度, 46, rh%
2026-03-02 22:04:56, 二氧化碳, 350, ppm
2026-03-02 22:04:56, 火焰强度, 1, level
2026-03-02 22:04:56, 亮度, 111, lux
2026-03-02 22:05:06, 温度, 17, ℃
2026-03-02 22:05:06, 湿度, 46, rh%
2026-03-02 22:05:06, 二氧化碳, 350, ppm
2026-03-02 22:05:06, 火焰强度, 1, level
2026-03-02 22:05:06, 亮度, 111, lux
2026-03-02 22:05:16, 温度, 17, ℃
2026-03-02 22:05:16, 湿度, 46, rh%
2026-03-02 22:05:16, 二氧化碳, 350, ppm
2026-03-02 22:05:16, 火焰强度, 1, level
2026-03-02 22:05:16, 亮度, 111, lux
2026-03-02 22:05:26, 温度, 17, ℃
2026-03-02 22:05:26, 湿度, 46, rh%
2026-03-02 22:05:26, 二氧化碳, 350, ppm
2026-03-02 22:05:26, 火焰强度, 1, level
2026-03-02 22:05:26, 亮度, 111, lux
2026-03-02 22:05:36, 温度, 17, ℃
2026-03-02 22:05:36, 湿度, 46, rh%
2026-03-02 22:05:36, 二氧化碳, 350, ppm
2026-03-02 22:05:36, 火焰强度, 1, level
2026-03-02 22:05:36, 亮度, 111, lux
2026-03-02 22:05:46, 温度, 17, ℃
2026-03-02 22:05:46, 湿度, 46, rh%
2026-03-02 22:05:46, 二氧化碳, 350, ppm
2026-03-02 22:05:46, 火焰强度, 1, level
2026-03-02 22:05:46, 亮度, 111, lux
2026-03-02 22:05:56, 温度, 17, ℃
2026-03-02 22:05:56, 湿度, 46, rh%
2026-03-02 22:05:56, 二氧化碳, 350, ppm
2026-03-02 22:05:56, 火焰强度, 1, level
2026-03-02 22:05:56, 亮度, 111, lux
2026-03-02 22:06:06, 温度, 17, ℃
2026-03-02 22:06:06, 湿度, 46, rh%
2026-03-02 22:06:06, 二氧化碳, 350, ppm
2026-03-02 22:06:06, 火焰强度, 1, level
2026-03-02 22:06:06, 亮度, 111, lux
2026-03-02 22:06:17, 温度, 17, ℃
2026-03-02 22:06:17, 湿度, 46, rh%
2026-03-02 22:06:17, 二氧化碳, 350, ppm
2026-03-02 22:06:17, 火焰强度, 1, level
2026-03-02 22:06:17, 亮度, 111, lux
2026-03-02 22:06:27, 温度, 17, ℃
2026-03-02 22:06:27, 湿度, 46, rh%
2026-03-02 22:06:27, 二氧化碳, 350, ppm
2026-03-02 22:06:27, 火焰强度, 1, level
2026-03-02 22:06:27, 亮度, 111, lux
2026-03-02 22:06:37, 温度, 17, ℃
2026-03-02 22:06:37, 湿度, 46, rh%
2026-03-02 22:06:37, 二氧化碳, 350, ppm
2026-03-02 22:06:37, 火焰强度, 1, level
2026-03-02 22:06:37, 亮度, 111, lux
2026-03-02 22:06:47, 温度, 17, ℃
2026-03-02 22:06:47, 湿度, 46, rh%
2026-03-02 22:06:47, 二氧化碳, 350, ppm
2026-03-02 22:06:47, 火焰强度, 1, level
2026-03-02 22:06:47, 亮度, 111, lux
2026-03-02 22:06:57, 温度, 17, ℃
2026-03-02 22:06:57, 湿度, 46, rh%
2026-03-02 22:06:57, 二氧化碳, 350, ppm
2026-03-02 22:06:57, 火焰强度, 1, level
2026-03-02 22:06:57, 亮度, 111, lux
2026-03-02 22:07:07, 温度, 17, ℃
2026-03-02 22:07:07, 湿度, 46, rh%
2026-03-02 22:07:07, 二氧化碳, 350, ppm
2026-03-02 22:07:07, 火焰强度, 1, level
2026-03-02 22:07:07, 亮度, 111, lux
2026-03-02 22:07:17, 温度, 17, ℃
2026-03-02 22:07:17, 湿度, 46, rh%
2026-03-02 22:07:17, 二氧化碳, 350, ppm
2026-03-02 22:07:17, 火焰强度, 1, level
2026-03-02 22:07:17, 亮度, 111, lux
2026-03-02 22:07:27, 温度, 17, ℃
2026-03-02 22:07:27, 湿度, 46, rh%
2026-03-02 22:07:27, 二氧化碳, 350, ppm
2026-03-02 22:07:27, 火焰强度, 1, level
2026-03-02 22:07:27, 亮度, 111, lux
2026-03-02 22:07:37, 温度, 17, ℃
2026-03-02 22:07:37, 湿度, 46, rh%
2026-03-02 22:07:37, 二氧化碳, 350, ppm
2026-03-02 22:07:37, 火焰强度, 1, level
2026-03-02 22:07:37, 亮度, 111, lux
2026-03-02 22:07:47, 温度, 17, ℃
2026-03-02 22:07:47, 湿度, 46, rh%
2026-03-02 22:07:47, 二氧化碳, 350, ppm
2026-03-02 22:07:47, 火焰强度, 1, level
2026-03-02 22:07:47, 亮度, 111, lux
2026-03-02 22:07:57, 温度, 17, ℃
2026-03-02 22:07:57, 湿度, 46, rh%
2026-03-02 22:07:57, 二氧化碳, 350, ppm
2026-03-02 22:07:57, 火焰强度, 1, level
2026-03-02 22:07:57, 亮度, 111, lux
2026-03-02 22:08:07, 温度, 17, ℃
2026-03-02 22:08:07, 湿度, 46, rh%
2026-03-02 22:08:07, 二氧化碳, 350, ppm
2026-03-02 22:08:07, 火焰强度, 1, level
2026-03-02 22:08:07, 亮度, 111, lux
2026-03-02 22:08:17, 温度, 17, ℃
2026-03-02 22:08:17, 湿度, 46, rh%
2026-03-02 22:08:17, 二氧化碳, 350, ppm
2026-03-02 22:08:17, 火焰强度, 1, level
2026-03-02 22:08:17, 亮度, 111, lux
2026-03-02 22:08:27, 温度, 17, ℃
2026-03-02 22:08:27, 湿度, 46, rh%
2026-03-02 22:08:27, 二氧化碳, 350, ppm
2026-03-02 22:08:27, 火焰强度, 1, level
2026-03-02 22:08:27, 亮度, 111, lux
2026-03-02 22:08:37, 温度, 17, ℃
2026-03-02 22:08:37, 湿度, 46, rh%
2026-03-02 22:08:37, 二氧化碳, 350, ppm
2026-03-02 22:08:37, 火焰强度, 1, level
2026-03-02 22:08:37, 亮度, 111, lux
2026-03-02 22:08:47, 温度, 17, ℃
2026-03-02 22:08:47, 湿度, 46, rh%
2026-03-02 22:08:47, 二氧化碳, 350, ppm
2026-03-02 22:08:47, 火焰强度, 1, level
2026-03-02 22:08:47, 亮度, 111, lux
2026-03-02 22:08:57, 温度, 17, ℃
2026-03-02 22:08:57, 湿度, 46, rh%
2026-03-02 22:08:57, 二氧化碳, 350, ppm
2026-03-02 22:08:57, 火焰强度, 1, level
2026-03-02 22:08:57, 亮度, 111, lux
2026-03-02 22:09:07, 温度, 17, ℃
2026-03-02 22:09:07, 湿度, 46, rh%
2026-03-02 22:09:07, 二氧化碳, 350, ppm
2026-03-02 22:09:07, 火焰强度, 1, level
2026-03-02 22:09:07, 亮度, 111, lux
2026-03-02 22:09:17, 温度, 17, ℃
2026-03-02 22:09:17, 湿度, 46, rh%
2026-03-02 22:09:17, 二氧化碳, 350, ppm
2026-03-02 22:09:17, 火焰强度, 1, level
2026-03-02 22:09:17, 亮度, 111, lux
2026-03-02 22:09:27, 温度, 17, ℃
2026-03-02 22:09:27, 湿度, 46, rh%
2026-03-02 22:09:27, 二氧化碳, 350, ppm
2026-03-02 22:09:27, 火焰强度, 1, level
2026-03-02 22:09:27, 亮度, 111, lux
2026-03-02 22:09:37, 温度, 17, ℃
2026-03-02 22:09:37, 湿度, 46, rh%
2026-03-02 22:09:37, 二氧化碳, 350, ppm
2026-03-02 22:09:37, 火焰强度, 1, level
2026-03-02 22:09:37, 亮度, 111, lux
2026-03-02 22:09:47, 温度, 17, ℃
2026-03-02 22:09:47, 湿度, 46, rh%
2026-03-02 22:09:47, 二氧化碳, 350, ppm
2026-03-02 22:09:47, 火焰强度, 1, level
2026-03-02 22:09:47, 亮度, 111, lux
2026-03-02 22:09:57, 温度, 17, ℃
2026-03-02 22:09:57, 湿度, 46, rh%
2026-03-02 22:09:57, 二氧化碳, 350, ppm
2026-03-02 22:09:57, 火焰强度, 1, level
2026-03-02 22:09:57, 亮度, 111, lux
2026-03-02 22:10:07, 温度, 17, ℃
2026-03-02 22:10:07, 湿度, 46, rh%
2026-03-02 22:10:07, 二氧化碳, 350, ppm
2026-03-02 22:10:07, 火焰强度, 384, level
2026-03-02 22:10:07, 亮度, 81, lux
2026-03-02 22:10:17, 温度, 17, ℃
2026-03-02 22:10:17, 湿度, 46, rh%
2026-03-02 22:10:17, 二氧化碳, 350, ppm
2026-03-02 22:10:17, 火焰强度, 1, level
2026-03-02 22:10:17, 亮度, 81, lux
2026-03-02 22:10:27, 温度, 17, ℃
2026-03-02 22:10:27, 湿度, 46, rh%
2026-03-02 22:10:27, 二氧化碳, 350, ppm
2026-03-02 22:10:27, 火焰强度, 1, level
2026-03-02 22:10:27, 亮度, 81, lux
2026-03-02 22:10:37, 温度, 18, ℃
2026-03-02 22:10:37, 湿度, 46, rh%
2026-03-02 22:10:37, 二氧化碳, 642, ppm
2026-03-02 22:10:37, 火焰强度, 1, level
2026-03-02 22:10:37, 亮度, 74, lux
2026-03-02 22:10:47, 温度, 18, ℃
2026-03-02 22:10:47, 湿度, 46, rh%
2026-03-02 22:10:47, 二氧化碳, 642, ppm
2026-03-02 22:10:47, 火焰强度, 1, level
2026-03-02 22:10:47, 亮度, 74, lux
2026-03-02 22:10:57, 温度, 18, ℃
2026-03-02 22:10:57, 湿度, 46, rh%
2026-03-02 22:10:57, 二氧化碳, 642, ppm
2026-03-02 22:10:57, 火焰强度, 1, level
2026-03-02 22:10:57, 亮度, 74, lux
2026-03-02 22:11:07, 温度, 18, ℃
2026-03-02 22:11:07, 湿度, 46, rh%
2026-03-02 22:11:07, 二氧化碳, 642, ppm
2026-03-02 22:11:07, 火焰强度, 1, level
2026-03-02 22:11:07, 亮度, 74, lux
2026-03-02 22:11:17, 温度, 18, ℃
2026-03-02 22:11:17, 湿度, 46, rh%
2026-03-02 22:11:17, 二氧化碳, 642, ppm
2026-03-02 22:11:17, 火焰强度, 1, level
2026-03-02 22:11:17, 亮度, 74, lux
2026-03-02 22:11:27, 温度, 18, ℃
2026-03-02 22:11:27, 湿度, 46, rh%
2026-03-02 22:11:27, 二氧化碳, 642, ppm
2026-03-02 22:11:27, 火焰强度, 1, level
2026-03-02 22:11:27, 亮度, 74, lux
2026-03-02 22:11:37, 温度, 18, ℃
2026-03-02 22:11:37, 湿度, 46, rh%
2026-03-02 22:11:37, 二氧化碳, 642, ppm
2026-03-02 22:11:37, 火焰强度, 1, level
2026-03-02 22:11:37, 亮度, 74, lux
2026-03-02 22:11:47, 温度, 18, ℃
2026-03-02 22:11:47, 湿度, 46, rh%
2026-03-02 22:11:47, 二氧化碳, 642, ppm
2026-03-02 22:11:47, 火焰强度, 1, level
2026-03-02 22:11:47, 亮度, 74, lux
2026-03-02 22:11:58, 温度, 18, ℃
2026-03-02 22:11:58, 湿度, 46, rh%
2026-03-02 22:11:58, 二氧化碳, 642, ppm
2026-03-02 22:11:58, 火焰强度, 1, level
2026-03-02 22:11:58, 亮度, 74, lux
2026-03-02 22:12:08, 温度, 18, ℃
2026-03-02 22:12:08, 湿度, 46, rh%
2026-03-02 22:12:08, 二氧化碳, 642, ppm
2026-03-02 22:12:08, 火焰强度, 1, level
2026-03-02 22:12:08, 亮度, 74, lux
2026-03-02 22:12:18, 温度, 18, ℃
2026-03-02 22:12:18, 湿度, 46, rh%
2026-03-02 22:12:18, 二氧化碳, 642, ppm
2026-03-02 22:12:18, 火焰强度, 1, level
2026-03-02 22:12:18, 亮度, 74, lux
2026-03-02 22:12:28, 温度, 18, ℃
2026-03-02 22:12:28, 湿度, 46, rh%
2026-03-02 22:12:28, 二氧化碳, 642, ppm
2026-03-02 22:12:28, 火焰强度, 1, level
2026-03-02 22:12:28, 亮度, 74, lux
2026-03-02 22:12:38, 温度, 18, ℃
2026-03-02 22:12:38, 湿度, 46, rh%
2026-03-02 22:12:38, 二氧化碳, 642, ppm
2026-03-02 22:12:38, 火焰强度, 1, level
2026-03-02 22:12:38, 亮度, 74, lux
2026-03-02 22:12:48, 温度, 18, ℃
2026-03-02 22:12:48, 湿度, 46, rh%
2026-03-02 22:12:48, 二氧化碳, 642, ppm
2026-03-02 22:12:48, 火焰强度, 297, level
2026-03-02 22:12:48, 亮度, 74, lux
2026-03-02 22:12:58, 温度, 18, ℃
2026-03-02 22:12:58, 湿度, 46, rh%
2026-03-02 22:12:58, 二氧化碳, 642, ppm
2026-03-02 22:12:58, 火焰强度, 297, level
2026-03-02 22:12:58, 亮度, 74, lux
2026-03-02 22:13:08, 温度, 18, ℃
2026-03-02 22:13:08, 湿度, 46, rh%
2026-03-02 22:13:08, 二氧化碳, 642, ppm
2026-03-02 22:13:08, 火焰强度, 297, level
2026-03-02 22:13:08, 亮度, 74, lux
2026-03-02 22:13:18, 温度, 18, ℃
2026-03-02 22:13:18, 湿度, 46, rh%
2026-03-02 22:13:18, 二氧化碳, 642, ppm
2026-03-02 22:13:18, 火焰强度, 297, level
2026-03-02 22:13:18, 亮度, 74, lux
2026-03-02 22:13:28, 温度, 18, ℃
2026-03-02 22:13:28, 湿度, 46, rh%
2026-03-02 22:13:28, 二氧化碳, 642, ppm
2026-03-02 22:13:28, 火焰强度, 297, level
2026-03-02 22:13:28, 亮度, 74, lux
2026-03-02 22:13:38, 温度, 18, ℃
2026-03-02 22:13:38, 湿度, 46, rh%
2026-03-02 22:13:38, 二氧化碳, 642, ppm
2026-03-02 22:13:38, 火焰强度, 297, level
2026-03-02 22:13:38, 亮度, 74, lux
2026-03-02 22:13:48, 温度, 18, ℃
2026-03-02 22:13:48, 湿度, 46, rh%
2026-03-02 22:13:48, 二氧化碳, 642, ppm
2026-03-02 22:13:48, 火焰强度, 297, level
2026-03-02 22:13:48, 亮度, 74, lux
2026-03-02 22:13:58, 温度, 18, ℃
2026-03-02 22:13:58, 湿度, 46, rh%
2026-03-02 22:13:58, 二氧化碳, 642, ppm
2026-03-02 22:13:58, 火焰强度, 297, level
2026-03-02 22:13:58, 亮度, 74, lux
2026-03-02 22:14:08, 温度, 18, ℃
2026-03-02 22:14:08, 湿度, 46, rh%
2026-03-02 22:14:08, 二氧化碳, 642, ppm
2026-03-02 22:14:08, 火焰强度, 297, level
2026-03-02 22:14:08, 亮度, 74, lux
2026-03-02 22:14:18, 温度, 18, ℃
2026-03-02 22:14:18, 湿度, 46, rh%
2026-03-02 22:14:18, 二氧化碳, 642, ppm
2026-03-02 22:14:18, 火焰强度, 297, level
2026-03-02 22:14:18, 亮度, 74, lux
2026-03-02 22:14:28, 温度, 18, ℃
2026-03-02 22:14:28, 湿度, 46, rh%
2026-03-02 22:14:28, 二氧化碳, 642, ppm
2026-03-02 22:14:28, 火焰强度, 297, level
2026-03-02 22:14:28, 亮度, 74, lux
2026-03-02 22:14:38, 温度, 18, ℃
2026-03-02 22:14:38, 湿度, 46, rh%
2026-03-02 22:14:38, 二氧化碳, 642, ppm
2026-03-02 22:14:38, 火焰强度, 297, level
2026-03-02 22:14:38, 亮度, 74, lux
2026-03-02 22:14:48, 温度, 18, ℃
2026-03-02 22:14:48, 湿度, 46, rh%
2026-03-02 22:14:48, 二氧化碳, 642, ppm
2026-03-02 22:14:48, 火焰强度, 297, level
2026-03-02 22:14:48, 亮度, 74, lux
2026-03-02 22:14:58, 温度, 18, ℃
2026-03-02 22:14:58, 湿度, 46, rh%
2026-03-02 22:14:58, 二氧化碳, 642, ppm
2026-03-02 22:14:58, 火焰强度, 297, level
2026-03-02 22:14:58, 亮度, 74, lux
2026-03-02 22:15:08, 温度, 18, ℃
2026-03-02 22:15:08, 湿度, 46, rh%
2026-03-02 22:15:08, 二氧化碳, 642, ppm
2026-03-02 22:15:08, 火焰强度, 297, level
2026-03-02 22:15:08, 亮度, 74, lux
2026-03-02 22:15:18, 温度, 18, ℃
2026-03-02 22:15:18, 湿度, 46, rh%
2026-03-02 22:15:18, 二氧化碳, 642, ppm
2026-03-02 22:15:18, 火焰强度, 10666, level
2026-03-02 22:15:18, 亮度, 74, lux
2026-03-02 22:15:28, 温度, 18, ℃
2026-03-02 22:15:28, 湿度, 46, rh%
2026-03-02 22:15:28, 二氧化碳, 642, ppm
2026-03-02 22:15:28, 火焰强度, 10666, level
2026-03-02 22:15:28, 亮度, 74, lux
2026-03-02 22:15:38, 温度, 18, ℃
2026-03-02 22:15:38, 湿度, 46, rh%
2026-03-02 22:15:38, 二氧化碳, 642, ppm
2026-03-02 22:15:38, 火焰强度, 10666, level
2026-03-02 22:15:38, 亮度, 74, lux
2026-03-02 22:15:48, 温度, 18, ℃
2026-03-02 22:15:48, 湿度, 46, rh%
2026-03-02 22:15:48, 二氧化碳, 642, ppm
2026-03-02 22:15:48, 火焰强度, 10666, level
2026-03-02 22:15:48, 亮度, 74, lux
2026-03-02 22:15:58, 温度, 18, ℃
2026-03-02 22:15:58, 湿度, 46, rh%
2026-03-02 22:15:58, 二氧化碳, 642, ppm
2026-03-02 22:15:58, 火焰强度, 10666, level
2026-03-02 22:15:58, 亮度, 74, lux
2026-03-02 22:16:08, 温度, 18, ℃
2026-03-02 22:16:08, 湿度, 46, rh%
2026-03-02 22:16:08, 二氧化碳, 642, ppm
2026-03-02 22:16:08, 火焰强度, 10666, level
2026-03-02 22:16:08, 亮度, 74, lux
2026-03-02 22:16:18, 温度, 18, ℃
2026-03-02 22:16:18, 湿度, 46, rh%
2026-03-02 22:16:18, 二氧化碳, 642, ppm
2026-03-02 22:16:18, 火焰强度, 10666, level
2026-03-02 22:16:18, 亮度, 74, lux
2026-03-02 22:16:28, 温度, 18, ℃
2026-03-02 22:16:28, 湿度, 46, rh%
2026-03-02 22:16:28, 二氧化碳, 642, ppm
2026-03-02 22:16:28, 火焰强度, 10666, level
2026-03-02 22:16:28, 亮度, 74, lux
2026-03-02 22:16:38, 温度, 18, ℃
2026-03-02 22:16:38, 湿度, 46, rh%
2026-03-02 22:16:38, 二氧化碳, 642, ppm
2026-03-02 22:16:38, 火焰强度, 10666, level
2026-03-02 22:16:38, 亮度, 74, lux
2026-03-02 22:16:48, 温度, 18, ℃
2026-03-02 22:16:48, 湿度, 46, rh%
2026-03-02 22:16:48, 二氧化碳, 642, ppm
2026-03-02 22:16:48, 火焰强度, 10666, level
2026-03-02 22:16:48, 亮度, 74, lux
2026-03-02 22:16:58, 温度, 18, ℃
2026-03-02 22:16:58, 湿度, 95, rh%
2026-03-02 22:16:58, 二氧化碳, 642, ppm
2026-03-02 22:16:58, 火焰强度, 1, level
2026-03-02 22:16:58, 亮度, 74, lux
2026-03-02 22:17:08, 温度, 18, ℃
2026-03-02 22:17:08, 湿度, 95, rh%
2026-03-02 22:17:08, 二氧化碳, 642, ppm
2026-03-02 22:17:08, 火焰强度, 1, level
2026-03-02 22:17:08, 亮度, 74, lux
2026-03-02 22:17:18, 温度, 20, ℃
2026-03-02 22:17:18, 湿度, 95, rh%
2026-03-02 22:17:18, 二氧化碳, 642, ppm
2026-03-02 22:17:18, 火焰强度, 906, level
2026-03-02 22:17:18, 亮度, 70, lux
2026-03-02 22:17:28, 温度, 20, ℃
2026-03-02 22:17:28, 湿度, 95, rh%
2026-03-02 22:17:28, 二氧化碳, 642, ppm
2026-03-02 22:17:28, 火焰强度, 1, level
2026-03-02 22:17:28, 亮度, 70, lux
2026-03-02 22:17:39, 温度, 19, ℃
2026-03-02 22:17:39, 湿度, 95, rh%
2026-03-02 22:17:39, 二氧化碳, 678, ppm
2026-03-02 22:17:39, 火焰强度, 579, level
2026-03-02 22:17:39, 亮度, 209, lux
2026-03-02 22:17:49, 温度, 19, ℃
2026-03-02 22:17:49, 湿度, 95, rh%
2026-03-02 22:17:49, 二氧化碳, 446, ppm
2026-03-02 22:17:49, 火焰强度, 1, level
2026-03-02 22:17:49, 亮度, 106, lux
2026-03-02 22:17:59, 温度, 18, ℃
2026-03-02 22:17:59, 湿度, 95, rh%
2026-03-02 22:17:59, 二氧化碳, 350, ppm
2026-03-02 22:17:59, 火焰强度, 1, level
2026-03-02 22:17:59, 亮度, 24, lux
2026-03-02 22:18:09, 温度, 18, ℃
2026-03-02 22:18:09, 湿度, 95, rh%
2026-03-02 22:18:09, 二氧化碳, 351, ppm
2026-03-02 22:18:09, 火焰强度, 1, level
2026-03-02 22:18:09, 亮度, 40, lux
2026-03-02 22:18:19, 温度, 18, ℃
2026-03-02 22:18:19, 湿度, 95, rh%
2026-03-02 22:18:19, 二氧化碳, 351, ppm
